Miner ID,Total IMC,Computing Power,Blocks Mined
Miner655,1.96,214,0
Miner656,16.01,438,0
Miner657,1.77,194,0
Miner658,2.80,306,0
Miner659,2.06,225,0
Miner660,2.68,293,0
Miner661,3.37,369,0
Miner662,0.99,108,0
Miner663,4.15,454,0
Miner664,3.88,424,0
Miner665,3.66,400,0
Miner666,4.52,494,0
Miner667,1.19,130,0
Miner668,3.74,409,0
Miner669,2.98,326,0
Miner670,3.78,413,0
Miner671,1.37,150,0
Miner672,3.03,331,0
Miner673,16.41,482,0
Miner674,4.48,490,0
Miner675,2.72,297,0
Miner676,0.98,107,0
Miner677,16.01,438,0
Miner678,3.74,409,0
Miner679,1.00,109,0
Miner680,3.23,353,0
Miner681,2.26,247,0
Miner682,0.97,106,0
Miner683,1.41,154,0
Miner684,1.06,116,0
Miner685,1.98,217,0
Miner686,2.33,255,0
Miner687,3.43,375,0
Miner688,3.88,424,0
Miner689,13.40,153,0
Miner690,2.65,290,0
Miner691,1.86,203,0
Miner692,15.87,423,0
Miner693,2.81,307,0
Miner694,1.67,183,0
Miner695,2.81,307,0
Miner696,1.23,135,0
Miner697,3.98,435,0
Miner698,1.79,196,0
Miner699,2.94,321,0
Miner700,3.67,401,0
Miner701,14.88,315,0
Miner702,4.48,490,0
Miner703,3.04,332,0
Miner704,14.82,308,0
Miner705,16.20,459,0
Miner706,2.96,324,0
Miner707,2.43,266,0
Miner708,2.00,219,0
Miner709,4.42,483,0
Miner710,1.71,187,0
Miner711,2.72,297,0
Miner712,15.36,367,0
Miner713,4.36,477,0
Miner714,2.03,222,0
Miner715,15.80,416,0
Miner716,3.16,346,0
Miner717,2.00,219,0
Miner718,1.07,117,0
Miner719,15.76,411,0
Miner720,1.97,215,0
Miner721,0.98,107,0
Miner722,1.49,163,0
Miner723,1.98,217,0
Miner724,2.02,221,0
Miner725,3.54,387,0
Miner726,16.16,455,0
Miner727,1.08,118,0
Miner728,3.62,396,0
Miner729,2.55,279,0
Miner730,1.89,207,0
Miner731,3.94,431,0
Miner732,1.36,149,0
Miner733,3.00,328,0
Miner734,16.43,484,0
Miner735,15.18,348,0
Miner736,1.94,212,0
Miner737,3.37,369,0
Miner738,3.07,336,0
Miner739,1.02,112,0
Miner740,16.37,478,0
Miner741,1.15,126,0
Miner742,4.13,452,0
Miner743,16.28,468,0
Miner744,4.44,485,0
Miner745,3.76,411,0
Miner746,4.21,460,0
Miner747,4.34,474,0
Miner748,4.17,456,0
Miner749,4.27,467,0
Miner750,2.86,313,0
Miner751,0.97,106,0
